AGE_GROUP,RACE,TOTAL_USERS
All,All,523086172
All,Non-Hispanic White,187820339
65-74,All,52431619
75-84,All,34417462
All,Black/African American,20248821
0-64,All,19082459
All,Hispanic,15804989
85 and over,All,14815240
65-74,Non-Hispanic White,13624749
75-84,Non-Hispanic White,9426305
All,Asian/Pacific Islander,8382634
0-64,Non-Hispanic White,4218416
85 and over,Non-Hispanic White,4040974
All,American Indian/Alaska Native,1383290
65-74,Black/African American,1317584
0-64,Black/African American,1070002
65-74,Hispanic,1046489
75-84,Black/African American,696582
0-64,Hispanic,687639
75-84,Hispanic,610660
65-74,Asian/Pacific Islander,601133
75-84,Asian/Pacific Islander,431149
85 and over,Hispanic,297051
85 and over,Black/African American,294025
85 and over,Asian/Pacific Islander,230250
0-64,Asian/Pacific Islander,135619
65-74,American Indian/Alaska Native,87010
0-64,American Indian/Alaska Native,68563
75-84,American Indian/Alaska Native,55720
85 and over,American Indian/Alaska Native,19410
